character_id,name,race,class,level,region_id,profession_primary,profession_secondary,gold,achievement_points,household_id,guild_id,gender,age,birth_date,education_level,relationship_status,num_children
38,Bolvar Fordragon,Human,Shaman,5,1,Jewelcrafting,Blacksmithing,7679.5859,23599,25,17,Female,38,1366-09-05,Basic,Married,2
10106,Anduin Mograine,Human,Priest,4,1,Tailoring,Leatherworking,3897.7993,14170,25,97,Male,46,1755-10-21,Basic,Widowed,1
40,Garrosh Frostwolf,Orc,Rogue,1,5,Blacksmithing,Blacksmithing,6419.3696,18550,26,2,Female,44,1589-05-04,Advanced,Married,2
41,Jaina Fordring,Human,Mage,4,5,Herbalism,Enchanting,14127.095,22317,27,48,Male,41,1946-10-03,Advanced,Married,1
42,Varian VanCleef,Human,Death Knight,3,6,Skinning,Enchanting,1386.7704,9941,28,40,Female,33,1759-01-30,Master,Single,0
43,Tirion VanCleef,Human,Hunter,4,2,Leatherworking,Mining,46.600117,18805,29,,Male,37,1337-04-14,Master,Divorced,1
44,Arthas Crowley,Human,Priest,3,9,Engineering,Skinning,366.75079,13182,30,,Male,29,1381-05-13,Basic,Married,1
45,Tirion Fordring,Human,Druid,1,6,Engineering,Enchanting,456.58179,23056,31,14,Female,40,1846-02-09,Advanced,Single,0
46,Magni Anvilmar,Dwarf,Mage,1,1,Herbalism,Herbalism,137100.88,20015,32,14,Male,33,1395-02-19,Basic,Single,1
559,Eitrigg Saurfang,Orc,Monk,3,1,Enchanting,Engineering,33593.625,17723,32,60,Male,55,1933-08-11,Basic,Married,1
47,Bael Hammerfall,Dwarf,Druid,2,2,Herbalism,Alchemy,154.36464,4858,33,96,Female,42,1296-07-30,Advanced,Married,3
6276,Jevan Runetotem,Tauren,Shaman,3,2,Engineering,Alchemy,710.68414,8160,33,,Female,28,1923-02-27,Master,Married,1
8306,Sylvanas Voss,Undead,Mage,1,2,Blacksmithing,Leatherworking,1042.9806,13696,33,10,Female,40,1828-06-30,Basic,Married,2
48,Halford Springvale,Worgen,Monk,1,3,Leatherworking,Leatherworking,1528.2014,24152,34,,Male,56,1747-09-27,None,Married,3
5559,Moira Hammerfall,Dwarf,Warrior,1,9,Blacksmithing,Leatherworking,30.134037,15748,35,15,Male,29,1055-07-22,Basic,Married,2
49,Thrall Doomhammer,Orc,Rogue,1,9,Skinning,Skinning,1613.0658,22390,35,93,Male,34,1723-06-16,Advanced,Single,1
50,Broll Moonwhisper,Night Elf,Druid,4,4,Tailoring,Engineering,3618.052,20300,36,18,Female,40,1193-11-10,Basic,Widowed,1
6453,Thrall Warsong,Orc,Rogue,1,7,Jewelcrafting,Engineering,509.45877,11056,37,31,Female,30,1946-08-17,Basic,Married,2
52,Darius Godfrey,Worgen,Hunter,5,7,Jewelcrafting,Enchanting,3889.5391,12261,37,18,Female,35,1581-01-15,Basic,Married,3
53,Maiev Ravencrest,Night Elf,Priest,1,7,Enchanting,Leatherworking,6819.9253,8933,38,78,Female,34,1127-03-27,Advanced,Single,1
54,Baine Earthfury,Tauren,Warlock,23,4,Skinning,Mining,7808.8696,16030,39,50,Male,39,1459-04-14,Basic,Married,0
9637,Maraad Stormcaller,Draenei,Mage,24,4,Engineering,Engineering,531.39191,10720,39,95,Male,42,1894-06-30,Basic,Single,1
56,Grom Saurfang,Orc,Hunter,1,6,Tailoring,Engineering,1641.2573,17766,40,65,Male,34,1599-07-11,Advanced,Married,3
5424,Alonsus Blightcaller,Undead,Paladin,3,5,Enchanting,Jewelcrafting,3241.4106,6777,41,83,Male,41,1476-04-18,Master,Married,0
57,Cordana Ravencrest,Night Elf,Shaman,3,5,Blacksmithing,Jewelcrafting,3506.9275,21782,41,,Male,32,1108-10-04,Basic,Married,3
58,Muradin Deepforge,Dwarf,Rogue,1,2,Jewelcrafting,Blacksmithing,993.79736,14479,42,46,Male,61,1172-04-23,Basic,Married,0
60,Lorna Darkfang,Worgen,Priest,2,10,Leatherworking,Enchanting,854.38739,4324,43,,Male,37,1455-02-09,Basic,Married,1
61,Bael Stormpike,Dwarf,Shaman,10,3,Alchemy,Leatherworking,1667.0562,11755,44,39,Female,49,1878-11-01,Advanced,Married,0
62,Amelia Faol,Undead,Paladin,1,6,Mining,Blacksmithing,3619.2686,14081,45,,Female,30,1305-10-27,Master,Married,0
9380,Mathias Proudmoore,Human,Warrior,10,6,Jewelcrafting,Alchemy,565.35858,4412,45,,Female,35,1469-04-06,Advanced,Single,1
65,Gelbin Cogspinner,Gnome,Monk,2,9,Engineering,Tailoring,783.16223,16796,46,69,Female,48,1348-05-27,Basic,Married,4
1442,Thargas Deepforge,Dwarf,Priest,1,9,Tailoring,Skinning,4131.3833,19779,46,28,Female,29,1935-06-05,Basic,Married,0
679,Naisha Whisperwind,Night Elf,Priest,1,9,Mining,Skinning,780.42889,2640,46,,Female,31,1049-03-06,Advanced,Single,0
66,Broll Shadowsong,Night Elf,Warrior,87,9,Tailoring,Mining,2019.5719,12745,47,23,Female,46,1677-12-02,Basic,Married,0
67,Liadrin Sunreaver,Blood Elf,Hunter,9,2,Enchanting,Engineering,13429.393,1991,48,45,Female,41,1785-02-10,Basic,Married,0
5405,Millhouse Boltbucket,Gnome,Monk,10,1,Alchemy,Tailoring,1945.3523,24929,49,57,Male,57,1681-08-03,Basic,Married,3
68,Baine Runetotem,Tauren,Mage,17,1,Enchanting,Blacksmithing,3896.4316,6855,49,7,Male,67,1388-07-02,Advanced,Widowed,0
70,Gelbin Steelspring,Gnome,Monk,40,8,Leatherworking,Tailoring,3568.1326,692,50,84,Female,36,1741-12-06,Advanced,Single,0
73,Trag Stormhoof,Tauren,Warrior,2,9,Tailoring,Mining,733.53589,4425,51,5,Male,34,1441-08-16,Basic,Single,3
9607,Shandris Feathermoon,Night Elf,Paladin,20,9,Tailoring,Tailoring,39657.012,20412,51,78,Female,36,1982-07-19,Basic,Single,3
74,Bolvar Proudmoore,Human,Rogue,6,4,Mining,Jewelcrafting,1451.2213,4735,52,100,Female,30,1444-09-27,Basic,Single,1
4202,Hamuul Runetotem,Tauren,Demon Hunter,1,4,Enchanting,Herbalism,161.592,18636,52,,Male,37,1796-02-11,Advanced,Married,2
75,Broll Moonwhisper,Night Elf,Rogue,1,2,Blacksmithing,Engineering,2398.948,5391,53,42,Male,35,1550-12-10,Basic,Single,3
76,Amelia Crowley,Undead,Paladin,2,10,Skinning,Tailoring,5878.4927,12555,54,88,Male,28,1739-08-17,Master,Single,2
8376,Tirion Fordragon,Human,Warrior,10,10,Skinning,Skinning,12361.709,15059,54,25,Female,32,1542-11-26,Basic,Married,0
78,Garrosh Warsong,Orc,Shaman,9,6,Blacksmithing,Blacksmithing,3249.4192,13790,55,7,Female,34,1506-11-20,Master,Widowed,2
79,Arthas Proudmoore,Human,Hunter,2,8,Enchanting,Alchemy,239.0676,10873,56,12,Male,51,1988-12-08,Advanced,Divorced,2
36,Maraad Soulbinder,Draenei,Warlock,7,8,Herbalism,Herbalism,1598.9132,2465,56,20,Male,51,1586-03-13,Advanced,Divorced,0
80,Falstad Stormpike,Dwarf,Priest,8,2,Mining,Skinning,407.98975,1958,57,27,Male,46,1991-07-25,Basic,Single,0
81,Restalaan Crystalheart,Draenei,Hunter,22,10,Mining,Tailoring,45235.23,21680,58,2,Female,32,1475-01-13,None,Married,3
82,Akama Stormcaller,Draenei,Warrior,4,2,Leatherworking,Jewelcrafting,175.08122,22540,59,,Female,39,1058-05-18,Advanced,Divorced,0
84,Zandalar Zandalari,Troll,Mage,1,9,Tailoring,Tailoring,6803.6309,1781,60,38,Female,27,1921-12-25,None,Single,0
3478,Zul'jin Shadowhunter,Troll,Warlock,2,9,Herbalism,Mining,66.550331,953,60,50,Female,32,1840-09-03,Advanced,Divorced,3
86,Hobart Rocketfuel,Goblin,Warrior,2,10,Skinning,Leatherworking,2509.7319,11446,61,10,Female,34,1159-03-24,None,Married,0
4636,Garona Blackrock,Orc,Warrior,26,5,Tailoring,Enchanting,7698.4229,471,62,,Female,53,1124-01-05,Basic,Divorced,1
520,Moira Anvilmar,Dwarf,Shaman,3,5,Leatherworking,Mining,33.562321,6894,62,72,Female,37,1476-01-22,Basic,Married,3
87,Vanessa VanCleef,Human,Warlock,1,5,Enchanting,Alchemy,345.41147,1973,62,,Male,37,1571-09-17,None,Single,3
2378,Mathias Crowley,Human,Mage,90,6,Alchemy,Leatherworking,888.87714,24329,63,9,Male,33,1541-08-11,None,Married,1
88,Baine Earthfury,Tauren,Warlock,1,6,Jewelcrafting,Tailoring,317.68121,11037,63,,Female,41,1482-11-08,Advanced,Married,0
2423,Krix Kaboombox,Goblin,Shaman,10,6,Herbalism,Alchemy,2333.2124,17798,63,3,Female,22,1728-11-12,Basic,Married,4
89,Shandris Whisperwind,Night Elf,Priest,2,5,Skinning,Alchemy,3189.3398,17952,64,22,Male,64,1836-09-10,Basic,Single,0
91,Nazgrel Warsong,Orc,Hunter,18,7,Leatherworking,Tailoring,537.20044,4155,65,5,Female,33,1154-07-24,Master,Single,3
601,Tobias Greymane,Worgen,Mage,2,10,Blacksmithing,Enchanting,1871.9974,419,66,,Male,58,1637-09-20,Basic,Single,0
92,Orgrim Doomhammer,Orc,Priest,2,10,Skinning,Skinning,2069.0615,8997,66,62,Female,42,1966-09-10,Basic,Single,0
6631,Thrall Warsong,Orc,Shaman,120,10,Skinning,Enchanting,74236.352,12197,66,35,Male,32,1602-04-03,Basic,Married,0
5972,Garrosh Blackrock,Orc,Hunter,17,5,Mining,Blacksmithing,974.10077,2272,67,103,Male,46,1068-12-27,Basic,Single,0
93,Maiev Ravencrest,Night Elf,Monk,3,5,Enchanting,Tailoring,6033.5352,20540,67,87,Female,71,1748-01-17,Advanced,Married,2
94,Bolvar Crowley,Human,Paladin,1,3,Alchemy,Engineering,9755.4092,24168,68,50,Female,34,1150-02-13,Basic,Single,0
95,Restalaan Crystalheart,Draenei,Priest,14,6,Tailoring,Mining,62182.043,5890,69,,Male,40,1415-08-04,None,Single,4
96,Nazgrel Saurfang,Orc,Hunter,46,8,Skinning,Engineering,1133.2925,23707,70,37,Male,43,1544-07-28,Basic,Single,1
97,Falstad Stormpike,Dwarf,Warrior,2,8,Engineering,Blacksmithing,15586.817,15341,71,85,Female,50,1418-11-03,Basic,Married,0
100,Maraad Lightbringer,Draenei,Priest,32,6,Skinning,Leatherworking,5037.3354,20455,72,5,Male,36,1068-02-28,Basic,Married,2
1300,Rommath Sunreaver,Blood Elf,Warlock,3,6,Tailoring,Jewelcrafting,1757.5289,3796,72,16,Female,54,1520-03-04,Advanced,Single,0
101,Tyrande Whisperwind,Night Elf,Priest,3,2,Mining,Herbalism,3531.3223,19639,73,53,Female,39,1559-05-13,None,Divorced,3
1510,Rastakhan Blooddrinker,Troll,Mage,2,10,Tailoring,Herbalism,515.11987,12114,74,40,Female,101,1725-08-08,Basic,Single,2
102,Muln Bloodhoof,Tauren,Hunter,3,10,Mining,Mining,302.10178,1226,74,16,Male,41,1509-06-13,Basic,Single,0
103,Eitrigg Doomhammer,Orc,Paladin,1,7,Alchemy,Leatherworking,5701.3687,2061,75,33,Male,46,1215-12-04,None,Single,0
104,Alonsus Menethil,Undead,Shaman,1,3,Enchanting,Enchanting,28.680132,22781,76,,Male,46,1657-05-21,Basic,Single,3
105,Akama Lightforged,Draenei,Rogue,56,9,Blacksmithing,Jewelcrafting,503.1217,17491,77,,Female,38,1276-05-02,Advanced,Single,2
107,Kelsey Thermaplugg,Gnome,Priest,2,6,Jewelcrafting,Mining,7689.98,9060,78,44,Female,27,1435-03-02,Basic,Divorced,0
108,Fizzlebang Steelspark,Gnome,Shaman,9,3,Herbalism,Mining,24311.543,20025,79,3,Female,57,1747-11-21,Basic,Married,4
109,Durotan Hellscream,Orc,Rogue,46,9,Tailoring,Leatherworking,214987.64,6840,80,81,Male,46,1419-06-17,Basic,Single,2
111,Talador Dawnchaser,Draenei,Hunter,1,8,Tailoring,Enchanting,26550.395,4568,81,24,Female,47,1099-08-14,Master,Single,3
562,Uther Crowley,Human,Paladin,2,8,Mining,Leatherworking,122.23344,15401,81,69,Female,50,1848-10-03,Master,Single,1
112,Tinkmaster Gearloose,Gnome,Paladin,5,10,Enchanting,Jewelcrafting,92108.578,17941,82,24,Male,54,1601-02-04,Advanced,Married,4
113,Blackhand Warsong,Orc,Priest,3,1,Mining,Mining,3676.2744,19179,83,20,Male,48,1919-06-04,Advanced,Single,0
10009,Zanzil Zandalari,Troll,Paladin,4,10,Tailoring,Engineering,493.6937,23556,84,20,Male,40,1302-11-10,Basic,Single,0
115,Talanji Darkspear,Troll,Shaman,1,10,Herbalism,Enchanting,10947.259,17670,84,59,Male,32,1755-07-10,Basic,Married,2
116,Iridi Stormcaller,Draenei,Druid,1,9,Skinning,Leatherworking,44543.734,5568,85,17,Male,26,1105-12-16,Basic,Married,3
2714,Sunwalker Grimtotem,Tauren,Hunter,95,9,Jewelcrafting,Enchanting,6125.6147,24006,86,35,Male,78,1563-09-11,Basic,Widowed,4
117,Rehgar Thunderlord,Orc,Priest,6,9,Skinning,Tailoring,166.82358,4571,86,44,Male,49,1470-07-13,None,Married,0
118,Celestine Springvale,Worgen,Demon Hunter,4,9,Blacksmithing,Tailoring,143.87527,20961,87,37,Male,50,1599-10-01,Basic,Single,1
5076,Putress Barthalomew,Undead,Priest,1,9,Tailoring,Engineering,13991.58,23243,87,17,Female,39,1566-05-14,Basic,Married,1
119,Grom Blackrock,Orc,Death Knight,1,9,Alchemy,Alchemy,8673.958,9289,88,86,Male,42,1298-09-29,Advanced,Married,1
120,Nathanos Crowley,Undead,Warrior,3,4,Jewelcrafting,Jewelcrafting,834.27771,18850,89,,Male,47,1511-02-11,Basic,Married,1
121,Zalazane Bonecrusher,Troll,Druid,1,10,Herbalism,Skinning,29827.83,2231,90,31,Male,49,1262-08-25,Basic,Divorced,4
123,Uther Wrynn,Human,Hunter,1,6,Mining,Skinning,279.74554,15427,91,68,Female,35,1342-08-25,Advanced,Single,1
124,Sicco Steelspring,Gnome,Hunter,5,10,Mining,Mining,621.63739,12620,92,36,Male,36,1095-06-28,Basic,Married,2
125,Megs Gearspanner,Goblin,Paladin,1,2,Enchanting,Alchemy,4268.0659,18565,93,,Male,28,1290-04-01,Advanced,Married,1
130,Fandral Staghelm,Night Elf,Paladin,1,1,Mining,Blacksmithing,14410.515,6299,94,92,Male,30,1331-03-01,None,Single,2
131,Alonsus Barthalomew,Undead,Monk,1,3,Engineering,Tailoring,774.49957,12895,95,,Male,37,1221-12-04,None,Widowed,2
1318,Nimzy Quickwrench,Gnome,Druid,1,10,Leatherworking,Mining,3310.9993,16252,96,30,Female,38,1371-05-15,Basic,Married,2
132,Bael Anvilmar,Dwarf,Warrior,3,10,Enchanting,Enchanting,624.4306,19415,96,96,Female,38,1290-11-15,Basic,Single,1
133,Fandral Bearmantle,Night Elf,Warlock,3,3,Jewelcrafting,Alchemy,190.71558,16992,97,95,Female,52,1710-07-22,Basic,Divorced,5
134,Thrall Frostwolf,Orc,Mage,7,10,Skinning,Tailoring,89477.32,3741,98,,Male,55,1957-04-01,Basic,Single,1
7417,Bael Wildhammer,Dwarf,Rogue,5,10,Mining,Enchanting,3996.0928,17808,98,27,Male,65,1610-08-23,Master,Single,0
135,Sassy Kaboombox,Goblin,Shaman,1,7,Skinning,Blacksmithing,18385.102,3029,99,,Female,55,1764-01-09,Master,Single,1
136,Thrall Warsong,Orc,Warrior,1,8,Enchanting,Skinning,27041.939,20050,100,45,Female,59,1102-07-04,Advanced,Single,2
10121,Astalor Sunstrider,Blood Elf,Hunter,3,8,Tailoring,Alchemy,55.982029,11320,100,,Male,119,1431-12-24,None,Married,3
137,Broll Whisperwind,Night Elf,Hunter,1,5,Leatherworking,Enchanting,47064.195,9019,101,,Female,30,1403-09-12,Advanced,Married,2
139,Rehgar Warsong,Orc,Shaman,1,8,Jewelcrafting,Leatherworking,2827.248,4574,102,10,Male,31,1038-12-21,Basic,Divorced,0
141,Lorna Menethil,Human,Death Knight,1,3,Skinning,Leatherworking,194.57086,18168,103,83,Female,39,1399-11-28,Basic,Single,3
143,Varian Mograine,Human,Hunter,1,1,Alchemy,Alchemy,11713.405,3605,104,43,Female,36,1909-04-29,Basic,Married,1
145,Sylvanas Voss,Undead,Paladin,7,3,Tailoring,Mining,9946.5,996,105,45,Female,32,1224-12-23,Master,Single,0
6563,Gazlowe Kaboombox,Goblin,Priest,3,3,Blacksmithing,Tailoring,136.52191,8914,105,,Male,56,1123-09-06,Basic,Married,0
146,Vanessa Prestor,Human,Druid,4,5,Mining,Jewelcrafting,221.35828,4840,106,61,Male,42,1341-12-20,Advanced,Married,2
4015,Iridi Lightwarden,Draenei,Warrior,2,5,Skinning,Herbalism,1234.9175,15046,106,,Male,44,1499-03-13,Master,Married,0
147,Anduin Prestor,Human,Priest,40,8,Skinning,Jewelcrafting,2746.6758,13928,107,6,Female,45,1213-11-10,Basic,Married,2
1000,Pathaleon Dawnsinger,Blood Elf,Priest,1,8,Blacksmithing,Alchemy,23596.313,938,107,,Male,33,1510-03-07,Advanced,Single,1
148,Tirion Fordring,Human,Mage,1,10,Skinning,Engineering,14727.401,12899,108,88,Male,33,1372-08-29,Advanced,Married,1
149,Malfurion Nightsong,Night Elf,Paladin,3,1,Engineering,Blacksmithing,670.12854,23211,109,27,Female,43,1191-03-07,None,Married,2
151,Zul'jin Shadowhunter,Troll,Shaman,2,1,Herbalism,Herbalism,5537.75,320,110,27,Male,45,1046-05-18,Basic,Single,0
152,Kelsey Thermaplugg,Gnome,Demon Hunter,13,7,Tailoring,Enchanting,47.771042,20461,111,,Female,48,1582-01-07,Basic,Single,1
153,Thrall Warsong,Orc,Warrior,6,9,Enchanting,Skinning,5555.6411,8043,112,13,Male,56,1685-03-10,Basic,Married,3
154,Rehgar Blackrock,Orc,Paladin,2,6,Tailoring,Blacksmithing,1658.687,23304,113,,Female,70,1298-02-04,Basic,Married,0
9223,Zul'jin Gurubashi,Troll,Hunter,2,6,Skinning,Leatherworking,510.93863,511,113,7,Female,54,1032-08-23,Basic,Single,0
155,Halford Godfrey,Worgen,Priest,2,1,Tailoring,Mining,1306.5061,9043,114,,Female,50,1055-03-28,Basic,Married,0
156,Moira Ironforge,Dwarf,Warlock,12,10,Jewelcrafting,Leatherworking,1900.7024,19491,115,,Female,53,1521-08-11,Basic,Married,0
2250,Blackhand Saurfang,Orc,Warrior,1,10,Jewelcrafting,Leatherworking,933.68298,6725,115,19,Male,32,1912-02-06,None,Single,3
157,Garrosh Hellscream,Orc,Rogue,2,3,Herbalism,Enchanting,17423.168,22388,116,25,Female,42,1410-06-18,Basic,Divorced,0
5164,Kurdran Bronzebeard,Dwarf,Rogue,4,6,Mining,Jewelcrafting,7243.5698,1164,117,,Male,47,1169-09-18,Advanced,Single,2
158,Megs Rocketfuel,Goblin,Paladin,3,6,Enchanting,Leatherworking,7536.2954,12084,117,25,Female,31,1861-03-18,Advanced,Divorced,1
161,Sen'jin Hexer,Troll,Shaman,15,2,Engineering,Mining,12881.024,22294,118,7,Female,44,1736-02-02,Advanced,Married,3
8125,Blackhand Blackrock,Orc,Mage,1,2,Herbalism,Leatherworking,24769.74,139,119,71,Male,41,1142-11-03,Advanced,Married,4
164,Arthas Fordring,Human,Rogue,1,2,Enchanting,Leatherworking,909.11163,12396,119,93,Male,35,1659-09-09,Basic,Single,1
165,Sunwalker Earthfury,Tauren,Paladin,7,10,Mining,Mining,3868.9001,24201,120,92,Female,50,1970-12-28,Advanced,Single,0
6143,Rastakhan Voodoomaster,Troll,Mage,1,10,Engineering,Alchemy,4970.6294,18778,121,13,Female,43,1942-08-05,None,Single,1
166,Druz Goldgrubber,Goblin,Hunter,1,10,Mining,Mining,19922.244,18619,121,97,Female,47,1463-06-25,Basic,Single,0
5108,Aethas Theron,Blood Elf,Warrior,8,5,Jewelcrafting,Mining,46955.672,21904,122,39,Male,38,1038-02-21,Basic,Married,1
167,Rehgar Hellscream,Orc,Paladin,22,5,Enchanting,Enchanting,339.85886,4783,122,23,Male,32,1630-02-15,Basic,Single,5
168,Tinkmaster Thermaplugg,Gnome,Paladin,9,8,Tailoring,Tailoring,288.2489,2738,123,,Female,36,1075-07-29,Basic,Single,3
169,Grom Doomhammer,Orc,Hunter,1,6,Enchanting,Skinning,10133.992,14279,124,45,Male,42,1663-08-20,None,Single,0
6488,Lorna Wrynn,Human,Paladin,1,1,Tailoring,Tailoring,3966.6414,20325,125,75,Female,48,1228-04-16,Basic,Single,2
171,Adalyn Wyrmbane,Worgen,Rogue,18,1,Engineering,Engineering,2295.3926,19906,125,103,Female,44,1664-06-22,None,Single,0
172,Bolvar Shaw,Human,Warlock,5,5,Leatherworking,Herbalism,2599.7866,22813,126,,Female,42,1860-05-21,Advanced,Married,4
173,Nobundo Soulbinder,Draenei,Death Knight,7,3,Herbalism,Engineering,25555.092,19156,127,28,Male,32,1964-04-02,Advanced,Divorced,0
174,Jaina Fordring,Human,Warrior,1,7,Jewelcrafting,Alchemy,87365.156,17417,128,89,Male,49,1450-03-24,None,Married,3
175,Varian Wrynn,Human,Hunter,3,1,Jewelcrafting,Tailoring,6808.0078,2100,129,39,Female,55,1643-08-20,Basic,Married,3
176,Anduin Wrynn,Human,Hunter,3,10,Jewelcrafting,Tailoring,6276.7261,22936,130,29,Female,58,1160-05-28,Basic,Single,5
177,Magni Bronzebeard,Dwarf,Priest,4,3,Tailoring,Alchemy,1346.4403,15576,131,100,Female,44,1188-09-16,Basic,Single,0
611,Kelsey Mekkatorque,Gnome,Priest,3,3,Herbalism,Enchanting,102.53368,17552,131,57,Male,38,1536-04-17,Basic,Married,1
178,Brann Hammerfall,Dwarf,Shaman,11,5,Alchemy,Alchemy,374.45062,6452,132,,Female,40,1528-04-13,None,Married,0
179,Halduron Sunfury,Blood Elf,Warlock,1,6,Mining,Blacksmithing,1141.8473,5485,133,16,Female,57,1427-08-21,Advanced,Widowed,2
6462,Moira Anvilmar,Dwarf,Druid,52,6,Jewelcrafting,Jewelcrafting,160264.83,6050,133,73,Male,80,1484-06-20,None,Married,1
180,Thrall Dragonmaw,Orc,Warrior,17,2,Enchanting,Enchanting,2975.1423,12953,134,22,Female,64,1623-06-17,Advanced,Single,2
181,Varian Fordragon,Human,Priest,1,4,Tailoring,Mining,1108.0099,23329,135,51,Male,38,1817-12-30,Basic,Married,2
