student_id,name,age,gender,major,learning_style,parents_education_level,avg_sleep_hours,high_school_gpa,study_hours_per_week,family_income,english_proficiency,math_proficiency,science_proficiency,final_gpa,graduation_within_4_years,academic_performance_description
47,Justin Hill,18,Female,Engineering,Auditory,Associate Degree,7.647447444456396,2.45,10,32000.0,86,85,90,2.75,1,"Average performance, requires more focused study approach"
48,Norma Johns,19,Female,Business,Visual,Bachelor's Degree,8.10951320217675,2.8,20,106000.0,86,87,88,3.5,1,Strong performance supported by good sleep habits
49,Cathy Owen,19,Male,Engineering,Kinesthetic,Associate Degree,10.0,3.4,14,42000.0,80,94,100,2.5,1,"Average performance, requires more focused study approach"
50,Robert Richardson,18,Female,Business,Kinesthetic,High School,4.0,2.63,8,23000.0,66,59,70,2.0,0,"Below average performance, needs significant increase in study effort"
51,James Gregory,23,Female,Business,Kinesthetic,Bachelor's Degree,7.913103383686625,3.1,21,92000.0,73,87,91,2.75,1,"Average performance, requires more focused study approach"
52,Linda Palmer,20,Female,Engineering,Visual,High School,6.1643041411416535,2.19,19,53000.0,71,92,88,2.0,1,"Struggling despite effort, may benefit from academic support services"
53,Brian Dudley,22,Female,Business,Reading/Writing,Bachelor's Degree,6.12037727666684,3.34,25,196000.0,91,83,89,3.0,1,Good academic standing maintained through consistent effort
54,Chris Smith,21,Female,Business,Auditory,Master's Degree,6.070341807619183,3.35,22,4000.0,82,73,77,2.5,1,"Average performance, requires more focused study approach"
55,Brittney Grant,19,Male,Biology,Kinesthetic,Associate Degree,5.63684549378804,2.76,6,172000.0,67,62,79,2.0,1,"Below average performance, needs significant increase in study effort"
56,Cristian Marsh,22,Male,Social Sciences,Visual,Associate Degree,9.526787251905178,3.03,12,42000.0,74,79,75,2.5,1,"Average performance, requires more focused study approach"
57,Melissa Trevino,18,Female,Biology,Visual,Associate Degree,8.263445990520854,3.22,12,129000.0,80,73,86,3.0,1,Solid performance with room for increased study time
58,Amanda Robinson,18,Male,Computer Science,Auditory,Associate Degree,7.0347939678360625,2.72,22,145000.0,82,76,80,3.0,1,Good academic standing maintained through consistent effort
59,Shane Garcia,18,Female,Computer Science,Kinesthetic,Master's Degree,9.026523628730502,2.64,21,54000.0,77,73,94,2.75,1,"Average performance, requires more focused study approach"
60,Jamie Bridges DVM,18,Female,Social Sciences,Visual,Master's Degree,4.731206552051686,4.0,26,14000.0,88,94,97,3.0,1,Good academic standing maintained through consistent effort
61,Tanya Donovan,19,Male,Business,Auditory,High School,5.003942303003611,2.68,7,21000.0,79,73,69,2.25,0,"Below average performance, needs significant increase in study effort"
62,Lisa Mcmillan,18,Male,Computer Science,Reading/Writing,Bachelor's Degree,4.0,3.2,34,45000.0,87,97,85,3.0,1,Good academic standing maintained through consistent effort
63,Diane Johnson,21,Female,Psychology,Reading/Writing,Master's Degree,5.950878189815069,3.88,26,198000.0,98,92,94,3.5,1,High achievement despite suboptimal rest
64,Jennifer Miller,19,Male,Biology,Reading/Writing,Master's Degree,7.242547790057129,4.0,19,28000.0,100,85,94,3.5,1,Strong performance supported by good sleep habits
65,Jennifer Hurst,18,Female,Biology,Kinesthetic,Associate Degree,7.1542878668985015,2.5,9,43000.0,74,74,88,2.75,1,"Average performance, requires more focused study approach"
66,Michael Velazquez DDS,19,Male,Business,Auditory,Associate Degree,7.2240128665898204,3.35,20,42000.0,85,87,80,2.75,1,"Average performance, requires more focused study approach"
67,Susan Patterson,18,Female,Computer Science,Auditory,High School,4.883414753400878,2.65,7,67000.0,69,75,73,1.5,1,"Below average performance, needs significant increase in study effort"
68,Jeremy Gregory,21,Male,Social Sciences,Visual,Master's Degree,8.204732113921033,3.11,17,25000.0,94,93,93,3.0,1,Solid performance with room for increased study time
69,Mrs. Lori Stein,18,Female,Business,Visual,High School,7.3594412773584965,2.64,6,16000.0,75,73,61,1.75,0,"Below average performance, needs significant increase in study effort"
70,James Walton,24,Male,Biology,Visual,Associate Degree,8.099581422198998,2.56,21,125000.0,77,82,95,3.0,1,Good academic standing maintained through consistent effort
71,Wesley Nguyen,20,Female,Economics,Auditory,High School,4.1608567336149225,2.98,8,76000.0,73,81,75,2.5,1,"Average performance, possibly impacted by insufficient rest"
72,Tiffany Meyer,18,Male,Biology,Visual,High School,7.467236288196685,2.26,29,217000.0,67,72,77,3.0,1,Good academic standing maintained through consistent effort
73,Christopher Wilson,18,Female,Business,Auditory,Associate Degree,5.218352140123709,3.6,22,148000.0,77,88,90,3.0,1,Good academic standing maintained through consistent effort
74,Tiffany Morales,21,Female,Business,Auditory,Doctorate,6.404015121172957,3.53,19,1000.0,86,82,86,2.75,1,"Average performance, requires more focused study approach"
75,Samantha Andrews,20,Male,Psychology,Reading/Writing,High School,7.801547347954575,3.21,19,161000.0,91,78,76,3.25,1,Solid performance with room for increased study time
76,Craig Smith,20,Male,Mathematics,Visual,Associate Degree,7.13664040938387,2.89,31,154000.0,77,100,74,3.0,1,Good academic standing maintained through consistent effort
77,Thomas Morris,20,Male,Social Sciences,Reading/Writing,High School,5.722690030331021,2.82,12,36000.0,85,74,75,1.75,0,"Struggling despite effort, may benefit from academic support services"
78,Karen Freeman,18,Female,Computer Science,Kinesthetic,High School,7.009409734276628,3.14,31,44000.0,86,87,97,3.25,1,Good academic standing maintained through consistent effort
79,Stephen Butler,19,Female,Business,Kinesthetic,Associate Degree,4.702697027134535,2.54,18,95000.0,76,76,78,2.25,1,"Struggling despite effort, may benefit from academic support services"
80,Ebony Lee,18,Female,Social Sciences,Kinesthetic,Associate Degree,8.725401093847445,2.95,12,44000.0,83,94,99,2.0,1,"Struggling despite effort, may benefit from academic support services"
81,Nicole Watson,21,Male,Economics,Auditory,High School,6.692073970755623,2.57,40,51000.0,81,87,83,2.5,1,"Average performance, requires more focused study approach"
82,Elizabeth Robbins,20,Male,Mathematics,Auditory,High School,8.677824916382988,2.55,4,121000.0,71,81,76,2.0,1,"Below average performance, needs significant increase in study effort"
83,Nicholas Pena,18,Female,Business,Auditory,High School,6.210202469355935,2.0,7,86000.0,70,67,62,1.75,1,"Below average performance, needs significant increase in study effort"
84,Katie Castaneda,18,Female,Psychology,Visual,High School,6.214636017390125,3.67,16,38000.0,84,82,76,2.0,1,"Struggling despite effort, may benefit from academic support services"
85,Tracy Fuentes,18,Non-Binary,Economics,Reading/Writing,Master's Degree,5.8537198200432305,3.03,40,102000.0,94,93,86,3.5,1,High achievement despite suboptimal rest
86,Amanda Hill,18,Male,Biology,Auditory,Master's Degree,8.314260897539613,3.96,31,53000.0,95,89,100,3.75,1,Outstanding achievement through dedicated effort and consistent study
87,Elizabeth Crawford,20,Female,Engineering,Reading/Writing,High School,5.935853264007286,3.53,20,72000.0,86,93,100,2.25,1,"Struggling despite effort, may benefit from academic support services"
88,Zachary Ruiz,20,Male,Computer Science,Reading/Writing,Associate Degree,7.9668931486227645,2.48,9,57000.0,82,75,78,3.25,1,Solid performance with room for increased study time
89,Erin King,21,Male,Psychology,Reading/Writing,Master's Degree,6.426321403496065,2.83,19,39000.0,97,82,84,2.25,1,"Struggling despite effort, may benefit from academic support services"
90,Jenna Perez,19,Female,Business,Visual,High School,4.03605505016257,4.0,13,35000.0,66,89,79,2.25,1,"Struggling despite effort, may benefit from academic support services"
91,Heather Jones,18,Female,Engineering,Visual,Bachelor's Degree,6.144528898320301,4.0,27,45000.0,77,94,92,3.25,1,Good academic standing maintained through consistent effort
92,Jill Mays,20,Non-Binary,Social Sciences,Kinesthetic,Master's Degree,5.231337678455728,3.36,35,29000.0,86,78,84,3.0,1,Good academic standing maintained through consistent effort
93,Steven Brown,20,Male,Engineering,Kinesthetic,High School,7.050854085523507,3.13,40,55000.0,85,95,100,3.75,1,Outstanding achievement through dedicated effort and consistent study
94,Sara Bright,19,Male,Mathematics,Reading/Writing,High School,5.214388396488265,2.68,9,66000.0,82,81,74,2.0,0,"Below average performance, needs significant increase in study effort"
95,Gina Frank,20,Female,Business,Kinesthetic,Master's Degree,8.388962651071925,3.59,16,119000.0,89,90,93,2.75,1,"Average performance, requires more focused study approach"
96,Gregory Torres MD,19,Female,Biology,Reading/Writing,Associate Degree,6.863386209470459,2.77,13,53000.0,81,69,79,2.5,1,"Average performance, requires more focused study approach"
97,Christine Todd,19,Male,Social Sciences,Visual,High School,6.733606007861892,2.0,20,46000.0,76,84,82,1.5,1,"Struggling despite effort, may benefit from academic support services"
98,Maureen Williams,19,Male,Computer Science,Visual,High School,7.983838206681374,2.34,6,102000.0,76,88,83,2.5,1,"Average performance, requires more focused study approach"
99,Amber Church,18,Male,Computer Science,Visual,Associate Degree,8.445860401113794,3.14,16,50000.0,85,93,96,3.25,1,Solid performance with room for increased study time
100,Spencer Thomas,18,Female,Engineering,Auditory,Bachelor's Degree,6.969851872345522,2.68,22,97000.0,89,94,95,2.0,1,"Struggling despite effort, may benefit from academic support services"
101,James Kelley,18,Male,Computer Science,Reading/Writing,Bachelor's Degree,5.843199550676064,3.22,16,75000.0,92,100,87,2.5,1,"Average performance, possibly impacted by insufficient rest"
102,Paul Fisher,20,Male,Economics,Visual,Doctorate,4.339045575831806,2.96,25,45000.0,78,92,85,2.25,1,"Struggling despite effort, may benefit from academic support services"
103,Mary King,18,Male,Social Sciences,Reading/Writing,High School,5.97092536444723,2.61,6,102000.0,78,72,72,2.0,0,"Below average performance, needs significant increase in study effort"
104,Mary Martin,19,Male,Engineering,Kinesthetic,Associate Degree,6.0741816300280576,3.55,31,61000.0,81,89,87,3.75,1,Outstanding achievement through dedicated effort and consistent study
105,Heather Parrish,22,Male,Business,Kinesthetic,Associate Degree,7.160586179488445,3.25,15,119000.0,81,83,95,2.75,0,"Average performance, requires more focused study approach"
106,Mike Walters,18,Female,Engineering,Visual,Associate Degree,6.48227967829296,3.12,18,30000.0,79,99,90,2.5,1,"Average performance, requires more focused study approach"
107,Nicole Valdez,19,Male,Economics,Reading/Writing,High School,8.031899458077142,3.44,7,22000.0,81,80,80,1.5,0,"Below average performance, needs significant increase in study effort"
108,Ashley Park,20,Female,Computer Science,Visual,Doctorate,6.080525093093966,3.74,20,6000.0,87,98,88,2.75,1,"Average performance, requires more focused study approach"
109,Jamie White,18,Male,Psychology,Kinesthetic,Master's Degree,6.914438249720587,4.0,35,6000.0,85,91,100,3.5,1,High achievement despite suboptimal rest
110,Dawn Mcgee,18,Female,Biology,Visual,Associate Degree,8.775981164795335,2.9,12,235000.0,80,80,80,2.5,1,"Average performance, requires more focused study approach"
111,Ashley White,18,Female,Biology,Reading/Writing,Bachelor's Degree,7.51273782093245,3.04,13,89000.0,87,83,100,3.0,1,Solid performance with room for increased study time
112,Michelle Alvarado,18,Female,Business,Kinesthetic,High School,6.909943687467154,2.35,3,36000.0,60,64,72,2.0,1,"Below average performance, needs significant increase in study effort"
113,Shane Gonzalez,22,Female,Economics,Auditory,Associate Degree,6.097083337097234,2.91,29,119000.0,90,96,86,2.5,1,"Average performance, requires more focused study approach"
114,Stephanie Payne,21,Male,Computer Science,Kinesthetic,Bachelor's Degree,6.050152904927534,3.73,28,144000.0,72,93,98,3.0,1,Good academic standing maintained through consistent effort
115,Mary Ruiz,20,Male,Business,Auditory,Associate Degree,5.724080120572078,3.77,24,40000.0,87,77,77,2.5,1,"Average performance, possibly impacted by insufficient rest"
116,Mary Johnson,21,Female,Mathematics,Visual,Doctorate,6.188489701325651,3.98,40,339000.0,96,100,100,3.25,1,Good academic standing maintained through consistent effort
117,Christopher Roberts,21,Non-Binary,Economics,Visual,Bachelor's Degree,8.133498758116472,2.35,14,103000.0,70,83,72,2.0,1,"Struggling despite effort, may benefit from academic support services"
118,Christopher Graves,18,Female,Computer Science,Reading/Writing,Associate Degree,6.667167593061597,3.67,11,94000.0,91,88,89,3.0,1,Solid performance with room for increased study time
119,Mark Rogers,21,Female,Business,Auditory,Bachelor's Degree,4.9753403959281535,2.33,16,115000.0,77,76,68,1.5,1,"Struggling despite effort, may benefit from academic support services"
120,Kaitlin Bell,19,Female,Business,Visual,High School,9.652253939589675,3.45,39,85000.0,87,96,89,2.5,1,"Average performance, requires more focused study approach"
121,Jacob Maddox,21,Male,Business,Auditory,Associate Degree,7.479947786717744,2.94,16,54000.0,100,86,72,4.0,1,Exceptional academic performance with natural ability
122,Elizabeth Pacheco,21,Male,Business,Visual,High School,4.889584899230246,3.35,27,263000.0,77,79,70,2.25,1,"Struggling despite effort, may benefit from academic support services"
123,Troy Medina,18,Female,Computer Science,Kinesthetic,Associate Degree,6.337226609138765,2.46,7,64000.0,74,82,80,2.75,1,"Average performance, requires more focused study approach"
124,Timothy Taylor,18,Female,Engineering,Visual,Bachelor's Degree,7.166329574242627,3.84,17,147000.0,78,97,100,3.0,0,Solid performance with room for increased study time
125,Carlos Johnson,18,Male,Economics,Reading/Writing,Associate Degree,9.556888139946066,2.39,23,58000.0,86,94,80,2.5,0,"Average performance, requires more focused study approach"
126,Sherry Rodriguez,19,Female,Biology,Kinesthetic,Bachelor's Degree,5.337831312611696,2.92,19,68000.0,77,78,100,3.0,1,Solid performance with room for increased study time
127,Wendy Smith,21,Male,Biology,Reading/Writing,Associate Degree,8.46406107903392,2.63,14,242000.0,89,80,97,2.75,1,"Average performance, requires more focused study approach"
128,Victor House,21,Female,Computer Science,Kinesthetic,High School,9.099229640458514,2.12,22,56000.0,68,85,87,2.5,1,"Average performance, requires more focused study approach"
129,Victoria Chapman,18,Male,Social Sciences,Auditory,Bachelor's Degree,6.057018542388144,3.3,28,88000.0,86,77,75,2.75,0,"Average performance, requires more focused study approach"
130,Lisa King,19,Male,Mathematics,Reading/Writing,High School,6.58372957170965,3.9,18,73000.0,98,97,95,3.0,1,Solid performance with room for increased study time
131,Andrea Bates,19,Female,Mathematics,Visual,High School,5.445536128939345,4.0,8,370000.0,82,96,79,2.25,1,"Below average performance, needs significant increase in study effort"
132,Lindsey Myers,18,Male,Mathematics,Auditory,Associate Degree,6.694808288379543,3.17,17,288000.0,92,100,83,2.5,1,"Average performance, requires more focused study approach"
133,Kyle Mata,18,Female,Social Sciences,Visual,High School,6.9451150384856035,3.56,19,147000.0,87,89,76,2.25,1,"Struggling despite effort, may benefit from academic support services"
134,Christopher Walker,18,Female,Psychology,Kinesthetic,High School,7.989474997123556,3.12,5,441000.0,80,72,87,1.75,1,"Below average performance, needs significant increase in study effort"
135,Stephanie Martinez,23,Female,Business,Kinesthetic,Bachelor's Degree,8.63527520653067,3.5,24,61000.0,81,83,94,3.75,1,Exceptional academic performance with natural ability
136,Michael Gregory,18,Male,Biology,Visual,Associate Degree,5.8778559030675295,2.95,28,110000.0,79,86,100,2.5,1,"Average performance, possibly impacted by insufficient rest"
137,Deborah Ford,19,Male,Economics,Visual,Associate Degree,4.049012403661008,3.22,17,78000.0,84,93,82,2.75,1,"Average performance, possibly impacted by insufficient rest"
138,Randall Pineda,20,Male,Economics,Auditory,Master's Degree,6.9681328310856365,3.64,17,-3000.0,89,99,88,3.0,1,Solid performance with room for increased study time
139,Deborah Anderson MD,19,Non-Binary,Psychology,Visual,Associate Degree,7.440306294952961,2.84,6,98000.0,86,87,82,2.5,1,"Average performance, requires more focused study approach"
140,Heidi Jackson,24,Female,Computer Science,Reading/Writing,Master's Degree,7.374126531527563,3.34,26,22000.0,95,96,92,3.25,1,Good academic standing maintained through consistent effort
141,Dawn Morris,23,Female,Engineering,Reading/Writing,High School,6.509990128736434,2.97,5,175000.0,75,88,94,1.5,1,"Below average performance, needs significant increase in study effort"
142,Heather Snyder,18,Female,Social Sciences,Visual,Associate Degree,7.187128149495901,3.54,23,60000.0,81,93,100,3.0,1,Good academic standing maintained through consistent effort
143,Randy Smith,19,Female,Psychology,Reading/Writing,Master's Degree,9.27316721252837,2.84,40,23000.0,100,92,94,3.75,1,Outstanding achievement through dedicated effort and consistent study
144,Justin Rogers,18,Female,Psychology,Visual,Associate Degree,7.572601253443764,3.1,12,190000.0,87,77,86,2.25,1,"Struggling despite effort, may benefit from academic support services"
145,Daniel Swanson,18,Male,Business,Auditory,Bachelor's Degree,6.439947362495373,4.0,20,87000.0,86,88,88,4.0,1,Exceptional academic performance with natural ability
146,Walter Jordan,18,Female,Engineering,Reading/Writing,Associate Degree,6.249703274356007,3.71,40,150000.0,99,99,100,3.75,1,Outstanding achievement through dedicated effort and consistent study
147,Tina Mills,20,Male,Mathematics,Reading/Writing,High School,6.745221463483404,3.67,17,81000.0,85,91,87,3.0,1,Solid performance with room for increased study time
148,Reginald Cross,19,Female,Biology,Visual,Associate Degree,9.45510994274596,3.14,13,96000.0,82,88,87,3.0,1,Solid performance with room for increased study time
149,Alexander Wolf,18,Female,Economics,Reading/Writing,Associate Degree,6.725048935710704,3.29,27,65000.0,88,97,85,2.0,1,"Struggling despite effort, may benefit from academic support services"
150,Dr. Theresa Edwards,18,Female,Engineering,Kinesthetic,Master's Degree,6.970308483218938,3.88,21,65000.0,87,93,100,3.5,1,High achievement despite suboptimal rest
151,Anthony Garcia,22,Male,Biology,Auditory,High School,6.276529643595546,3.78,11,55000.0,83,85,89,3.5,1,High achievement despite suboptimal rest
152,Regina Simpson,18,Male,Business,Auditory,Master's Degree,8.648475036162948,2.4,24,14000.0,80,81,79,3.25,1,Good academic standing maintained through consistent effort
153,Wendy Smith,18,Male,Economics,Reading/Writing,Master's Degree,9.939755882117012,2.72,31,35000.0,87,94,90,3.25,1,Good academic standing maintained through consistent effort
154,Rachel Richard,19,Male,Engineering,Reading/Writing,High School,7.675919574147082,3.65,11,147000.0,77,99,99,2.25,1,"Struggling despite effort, may benefit from academic support services"
155,Craig Bush,24,Male,Engineering,Kinesthetic,High School,7.124159355678138,2.86,15,87000.0,76,85,97,2.0,0,"Struggling despite effort, may benefit from academic support services"
156,Rebecca Davis,18,Female,Biology,Kinesthetic,Master's Degree,7.055174249761352,3.04,20,82000.0,78,88,100,2.5,1,"Average performance, requires more focused study approach"
157,Virginia Munoz,20,Female,Social Sciences,Reading/Writing,Master's Degree,4.0,2.75,20,39000.0,90,84,83,2.5,0,"Average performance, possibly impacted by insufficient rest"
158,Arthur Chapman,20,Male,Computer Science,Reading/Writing,Associate Degree,8.117726296427225,2.85,9,30000.0,81,93,90,2.0,0,"Below average performance, needs significant increase in study effort"
159,Mrs. Kendra Hill,18,Male,Mathematics,Kinesthetic,High School,7.201249623993765,2.3,17,25000.0,72,89,82,2.25,1,"Struggling despite effort, may benefit from academic support services"
160,Carol Webb,20,Male,Business,Visual,Associate Degree,7.642513075991087,4.0,37,64000.0,100,100,93,3.5,1,Strong performance supported by good sleep habits
161,James Giles,19,Female,Engineering,Kinesthetic,Bachelor's Degree,5.932806708874443,3.24,14,57000.0,78,79,93,2.0,1,"Struggling despite effort, may benefit from academic support services"
162,Stephanie Lyons,20,Female,Computer Science,Visual,High School,6.423314681534363,2.97,20,41000.0,72,89,84,2.25,1,"Struggling despite effort, may benefit from academic support services"
163,Jasmin Cruz,20,Female,Business,Auditory,Bachelor's Degree,6.38346259524524,3.54,30,70000.0,84,89,77,2.75,1,"Average performance, requires more focused study approach"
164,Joe Douglas,19,Female,Psychology,Auditory,High School,8.532434476109557,3.48,17,41000.0,84,86,94,2.5,1,"Average performance, requires more focused study approach"
165,Susan Valencia,18,Non-Binary,Computer Science,Kinesthetic,High School,6.43186024509536,3.47,21,164000.0,78,94,100,2.75,1,"Average performance, requires more focused study approach"
166,William Williams,21,Female,Engineering,Visual,Associate Degree,10.0,3.66,14,73000.0,74,98,100,3.0,1,Solid performance with room for increased study time
167,Jonathan Ramos,18,Male,Social Sciences,Kinesthetic,Associate Degree,7.646293628522556,2.81,32,130000.0,81,70,84,2.75,1,"Average performance, requires more focused study approach"
168,Rebecca Clark,18,Female,Computer Science,Kinesthetic,High School,5.086476010006402,2.85,24,67000.0,75,86,85,2.25,0,"Struggling despite effort, may benefit from academic support services"
169,Lisa Wyatt,18,Male,Economics,Visual,Associate Degree,6.807180560122065,3.51,31,176000.0,80,95,83,3.0,1,Good academic standing maintained through consistent effort
170,Dustin Gray,19,Female,Engineering,Kinesthetic,High School,6.0224873167653765,2.74,6,122000.0,69,77,88,2.75,1,"Average performance, requires more focused study approach"
171,Gabrielle Smith,20,Male,Biology,Auditory,High School,4.0,3.0,18,40000.0,72,70,75,1.5,1,"Struggling despite effort, may benefit from academic support services"
