Name,Age,Experience,KnifeSkills,PlatingAesthetics,Creativity,ChallengeWinRate,JudgesFeedback,StressManagement,SocialMediaFollowing,Education,Country,CuisineSpecialty,AudiencePopularity,SignatureDishes,UniqueIngredients,HoursPracticed,Top10Percent
William Benjamin Miller,42,9,1.8,4.08,5.31,16.84,5.51,3.75,2.08,Bachelor's,Mexico,Mexican,3.36,2,8,6.17,0
John Grace Brown,25,6,5.26,6.73,8.82,36.68,6.38,9.81,7.19,Associate's,Germany,French,4.76,4,4,22.22,0
Barbara Christopher Davis,39,15,7.73,6.42,8.64,12.44,5.44,4.81,3.43,Associate's,Italy,French,8.33,4,7,27.01,0
Linda Alexander Williams,56,16,5.56,7.15,7.79,11.34,6.64,6.21,4.86,Associate's,USA,French,3.29,6,3,20.93,1
Barbara Sophie Johnson,38,8,10.0,9.45,10.0,26.98,8.33,10.0,8.8,Associate's,India,Mexican,3.11,5,6,10.1,1
Barbara Christopher Smith,49,10,6.74,5.75,6.48,0.0,3.64,2.27,0.37,High School,USA,French,9.2,2,4,23.73,0
Barbara Edward Davis,36,7,5.66,5.85,8.94,33.17,8.07,1.0,6.78,High School,Mexico,Mexican,0.79,5,7,14.68,0
James Emma Garcia,25,5,10.0,7.73,9.3,24.58,7.78,6.72,7.38,High School,Mexico,Italian,5.52,2,2,13.58,1
Michael Alexander Davis,38,12,7.53,7.72,7.72,27.49,6.77,8.81,5.21,High School,India,Italian,5.04,5,6,15.11,0
Patricia Sophie Martinez,40,11,9.13,6.49,9.14,30.27,7.21,2.93,5.18,Associate's,China,Italian,0.57,6,6,11.96,0
Patricia Emma Garcia,44,12,9.92,8.05,10.0,18.64,7.26,10.0,5.6,High School,Germany,Japanese,0.88,4,4,21.02,1
Linda Grace Jones,48,19,7.33,9.07,8.78,29.96,6.75,9.44,5.23,High School,Brazil,Italian,3.82,3,7,16.76,1
Mary Emma Miller,22,5,9.5,8.47,9.93,24.26,7.17,1.0,1.52,High School,Japan,Italian,1.34,4,8,13.35,0
Linda Benjamin Martinez,40,14,5.76,6.38,8.66,23.04,6.02,2.48,5.3,High School,Mexico,Mexican,4.78,2,4,31.9,0
Elizabeth Christopher Rodriguez,29,10,5.62,6.24,5.17,21.52,4.81,1.0,4.75,Culinary School,Italy,Mexican,6.09,4,9,17.34,0
Linda Benjamin Rodriguez,33,13,4.44,7.94,6.98,41.06,5.92,7.2,8.0,High School,Mexico,French,6.91,2,3,20.26,0
Robert Alexander Martinez,35,16,5.35,9.18,6.77,11.97,6.86,3.75,4.33,Associate's,Germany,French,5.46,2,6,27.77,0
John Benjamin Johnson,29,11,6.8,8.19,10.0,21.89,7.05,4.13,4.23,High School,Mexico,French,3.8,5,4,23.39,1
Mary Edward Williams,24,5,7.35,6.59,8.23,17.53,7.29,7.3,6.05,Bachelor's,Germany,Mexican,1.3,2,1,29.54,0
Elizabeth Sophie Garcia,28,0,7.24,7.78,5.18,9.18,6.15,3.65,0.87,Culinary School,Brazil,Mexican,2.47,5,6,16.52,0
Elizabeth Edward Smith,29,1,4.63,6.83,6.8,28.29,6.29,1.42,5.56,Associate's,Brazil,Italian,4.19,4,6,25.24,0
John Benjamin Garcia,41,9,4.98,5.6,6.68,2.87,5.97,1.0,0.52,Bachelor's,Japan,Indian,9.24,1,4,22.45,0
William Edward Jones,57,18,9.56,8.6,7.72,17.73,5.47,6.31,2.93,High School,Mexico,Mexican,2.03,2,8,24.98,0
William Emma Jones,46,9,9.39,5.46,10.0,30.98,6.28,3.83,3.97,High School,India,Indian,4.13,9,4,24.22,1
Barbara Daniel Miller,42,8,7.72,7.09,4.07,16.61,6.4,1.0,2.96,High School,Italy,Mexican,7.32,4,7,16.14,0
Patricia Sophia Smith,36,10,6.78,6.61,9.39,18.41,6.36,6.55,4.66,High School,Japan,Mexican,7.05,5,7,34.12,0
Robert Edward Davis,41,23,6.02,6.02,6.02,8.9,4.38,6.4,2.88,High School,Brazil,Japanese,9.66,3,4,8.7,0
Patricia Sophia Rodriguez,37,8,2.97,4.86,7.58,34.5,6.83,1.41,5.86,High School,India,Indian,1.91,3,7,15.68,0
Linda Daniel Martinez,49,16,4.82,8.11,7.99,21.49,5.93,6.41,6.53,Associate's,India,Japanese,0.17,4,2,23.41,1
Elizabeth Sophia Davis,32,9,7.04,6.98,10.0,11.28,7.03,3.42,4.87,Bachelor's,Mexico,Italian,3.22,3,9,21.45,1
James Sophie Garcia,32,15,6.15,10.0,10.0,34.76,7.99,6.17,6.79,High School,Italy,Japanese,1.5,2,5,20.67,1
Patricia Benjamin Jones,33,9,4.76,5.87,6.42,25.2,6.48,5.07,6.14,High School,France,Japanese,5.48,4,9,23.58,0
Patricia Christopher Johnson,22,11,6.61,8.1,8.49,31.47,6.88,5.96,5.65,Associate's,Brazil,Italian,8.99,2,10,15.79,0
John Olivia Davis,42,15,9.27,9.29,10.0,22.42,8.02,4.6,6.17,Associate's,Germany,Indian,6.88,8,4,24.2,1
Elizabeth Olivia Williams,25,8,7.5,6.87,8.58,0.93,6.12,9.29,5.26,High School,India,French,1.36,1,9,19.35,0
James Grace Williams,37,14,10.0,8.07,9.55,28.55,9.25,9.76,4.91,High School,UK,Mexican,1.16,4,5,27.0,1
Mary Benjamin Miller,31,11,9.06,8.05,6.81,15.08,7.83,3.38,5.89,Associate's,UK,Indian,9.11,5,3,18.48,0
Robert Christopher Johnson,43,8,1.97,5.54,5.87,25.23,7.15,4.68,6.64,High School,Brazil,Italian,4.88,1,3,22.34,0
William Edward Smith,21,7,7.22,6.34,9.14,28.49,7.25,6.98,6.93,Bachelor's,France,Japanese,9.24,1,6,23.19,1
Barbara Olivia Rodriguez,33,7,2.35,5.46,7.78,12.56,5.69,1.36,2.7,High School,UK,French,7.36,3,3,24.53,0
Mary Emma Johnson,24,11,6.46,7.49,9.34,28.23,7.84,4.19,6.31,High School,USA,Japanese,9.93,2,7,20.19,0
James Daniel Williams,40,13,5.96,8.94,9.29,22.05,6.29,6.82,5.45,Associate's,France,Mexican,8.71,4,3,18.57,0
Barbara Benjamin Johnson,36,7,4.21,6.59,4.38,25.44,6.49,3.59,2.94,Culinary School,Mexico,Italian,4.14,4,6,16.12,0
Barbara Olivia Martinez,24,4,5.38,8.31,5.47,18.58,6.34,1.0,2.56,Associate's,Germany,French,7.58,0,2,22.43,0
James Alexander Martinez,36,13,8.72,8.55,9.78,24.02,8.21,9.58,4.44,High School,UK,Indian,4.71,2,5,10.51,1
John Sophia Brown,48,16,6.22,6.71,6.08,18.1,6.58,5.78,4.13,High School,Japan,Indian,2.33,5,5,21.54,0
Barbara Olivia Davis,45,13,5.36,7.57,8.52,0.0,6.67,5.94,2.54,Associate's,Brazil,Italian,2.41,4,4,21.92,1
Michael Alexander Smith,36,9,3.28,7.52,8.67,30.26,8.32,6.84,5.21,High School,China,Italian,3.97,2,8,29.37,1
Robert Christopher Jones,38,11,5.06,6.3,9.16,26.88,5.74,3.6,8.77,Associate's,Mexico,Japanese,1.11,2,7,16.7,0
James Benjamin Smith,43,7,4.99,9.55,5.59,25.21,6.97,3.88,5.3,Associate's,Japan,French,1.78,3,4,20.94,1
Mary Olivia Brown,44,14,4.62,6.97,5.79,15.09,6.79,1.0,3.52,High School,UK,Mexican,5.01,2,4,20.8,0
Patricia Christopher Johnson,37,8,3.15,6.69,5.53,9.16,5.21,1.0,3.21,High School,India,Italian,9.54,3,3,14.47,0
William Sophia Rodriguez,29,10,3.75,6.75,8.82,21.21,6.78,2.16,3.59,Bachelor's,USA,French,5.78,3,4,19.97,0
John Alexander Johnson,18,2,2.2,5.49,4.41,9.82,6.1,3.76,4.74,Associate's,Mexico,Italian,4.08,2,3,13.29,0
Barbara Olivia Johnson,41,8,7.71,5.71,5.95,21.44,5.87,6.19,5.1,Bachelor's,Germany,Italian,2.43,4,2,24.81,0
Elizabeth Christopher Rodriguez,40,11,1.11,4.53,5.62,5.55,4.5,6.98,2.27,High School,India,Indian,1.96,0,5,22.95,0
Patricia Alexander Smith,48,13,8.52,8.09,10.0,20.15,8.33,5.28,6.11,Associate's,UK,French,6.58,3,8,22.16,1
Linda Daniel Rodriguez,36,14,8.26,6.53,8.53,38.33,8.33,7.44,6.56,High School,Germany,Indian,8.48,2,7,16.82,1
Linda Sophia Jones,42,12,4.42,7.59,6.39,11.7,6.54,2.58,5.42,High School,China,Indian,3.99,1,7,27.09,0
Robert Benjamin Brown,30,3,1.0,4.57,5.68,17.26,5.17,5.24,4.69,Associate's,China,French,5.51,6,4,14.58,0
John Sophia Martinez,25,5,5.7,7.46,8.05,20.0,6.88,10.0,0.98,Bachelor's,Mexico,Indian,7.07,3,3,20.25,1
William Daniel Smith,27,6,8.01,8.35,10.0,24.9,7.39,4.38,7.24,High School,Italy,Japanese,0.58,2,4,14.15,1
Robert Alexander Brown,23,6,9.43,9.92,7.95,34.75,7.65,7.6,6.08,Bachelor's,UK,Mexican,3.51,2,5,19.08,1
Elizabeth Alexander Rodriguez,38,7,5.19,7.5,7.96,5.58,6.6,2.02,4.34,Associate's,Brazil,Mexican,7.3,1,2,26.36,0
William Sophie Smith,24,3,3.45,5.4,1.88,18.76,5.81,2.95,5.27,High School,France,Japanese,6.85,2,7,22.36,0
Linda Christopher Brown,38,10,7.89,9.92,6.65,25.48,7.96,2.85,5.44,Bachelor's,China,Italian,0.53,3,2,15.39,1
Mary Emma Miller,36,7,6.65,7.78,6.17,19.01,6.11,7.15,2.64,Associate's,USA,Indian,2.38,3,6,17.39,0
James Benjamin Miller,18,7,3.1,7.51,8.56,19.85,7.0,6.24,8.13,Associate's,Italy,Mexican,6.8,4,9,18.1,0
Elizabeth Emma Johnson,42,9,2.46,5.8,7.14,14.05,6.56,7.56,7.84,Associate's,Italy,French,2.71,2,6,15.83,0
Barbara Emma Smith,29,11,3.92,7.62,7.32,22.73,4.63,6.34,6.96,Associate's,UK,Italian,8.14,1,9,21.36,0
Michael Edward Davis,18,2,6.87,8.76,10.0,26.59,7.42,8.19,6.47,Bachelor's,France,Mexican,0.3,0,2,30.92,1
Michael Olivia Davis,29,13,6.24,8.53,8.05,16.22,7.11,4.66,1.64,High School,Italy,Indian,1.9,4,4,17.2,0
Patricia Christopher Jones,35,14,6.36,7.45,7.21,24.98,6.7,1.0,5.89,High School,Italy,Mexican,2.81,3,4,29.65,0
Barbara Sophia Rodriguez,36,12,5.71,7.49,8.65,21.83,5.13,3.07,6.04,Bachelor's,China,Indian,9.25,2,5,19.98,0
Barbara Grace Miller,31,2,3.79,4.11,3.16,11.92,6.38,10.0,7.25,Bachelor's,Germany,Italian,7.96,1,4,21.61,0
John Grace Johnson,43,7,5.6,7.08,7.53,31.94,7.38,3.16,6.67,High School,Mexico,Japanese,8.84,2,6,21.3,0
Elizabeth Grace Williams,18,2,3.29,3.83,5.93,6.3,6.88,1.0,6.05,High School,UK,Indian,4.4,4,5,11.52,0
Patricia Emma Smith,45,17,6.12,9.08,8.01,24.05,7.59,6.33,6.56,Associate's,UK,Indian,8.23,1,3,22.27,1
Elizabeth Olivia Davis,44,8,3.35,7.41,7.08,14.05,6.29,5.9,5.91,High School,Mexico,Italian,8.53,6,6,7.84,0
Patricia Alexander Garcia,34,7,7.41,7.66,10.0,20.34,5.08,6.99,6.86,Associate's,UK,Italian,4.0,2,5,21.05,1
Michael Alexander Davis,35,7,7.05,8.22,9.6,34.97,5.7,1.0,8.34,High School,Japan,French,9.94,6,5,20.81,0
Patricia Alexander Rodriguez,18,6,1.96,5.77,5.34,17.01,7.35,4.53,8.53,Associate's,UK,Italian,8.51,5,5,12.33,0
Barbara Edward Brown,30,7,5.04,6.66,9.91,13.33,5.09,4.87,2.7,High School,Italy,Mexican,9.74,6,3,20.32,0
Barbara Olivia Martinez,46,11,9.62,7.3,8.35,25.71,6.36,1.0,2.5,Associate's,Italy,Indian,8.66,2,8,18.54,0
Mary Sophia Davis,26,4,5.1,7.64,10.0,24.34,6.76,8.63,4.88,Associate's,France,Japanese,7.76,5,8,19.23,1
Linda Benjamin Davis,33,4,5.75,6.78,7.2,15.39,6.33,2.17,4.1,Associate's,France,Italian,9.44,4,4,19.28,0
James Grace Miller,35,17,8.07,9.38,10.0,29.14,6.88,3.34,3.05,High School,UK,Indian,4.2,3,2,17.05,1
Barbara Edward Smith,21,4,2.64,5.51,3.14,18.23,6.52,7.53,4.59,High School,USA,Japanese,7.83,1,6,20.38,0
William Grace Davis,36,10,4.34,5.03,9.26,22.11,6.32,4.93,9.06,High School,China,French,2.13,1,7,24.33,0
Michael Emma Garcia,18,0,5.47,6.13,6.02,11.76,6.1,1.0,3.84,Associate's,Japan,Mexican,7.33,2,9,18.81,0
John Christopher Johnson,35,11,8.46,6.33,8.18,31.24,7.1,10.0,5.81,Associate's,Italy,French,7.85,2,7,19.75,1
Robert Benjamin Rodriguez,18,4,7.46,7.59,10.0,31.05,7.32,1.15,6.65,High School,Japan,Italian,7.17,3,5,23.25,1
James Benjamin Smith,32,6,6.03,5.61,6.29,16.32,5.3,6.94,2.97,Bachelor's,China,Mexican,8.5,4,7,31.35,0
William Christopher Miller,31,4,3.58,8.78,7.91,3.8,6.83,5.2,5.56,Bachelor's,Brazil,French,4.13,2,4,19.04,0
John Edward Smith,32,8,4.66,5.28,8.58,21.47,4.77,5.26,6.84,Associate's,UK,Indian,5.45,1,8,11.49,0
Elizabeth Alexander Brown,22,14,4.42,6.25,4.89,25.2,6.82,7.86,8.13,High School,USA,Italian,0.11,3,6,15.52,0
Linda Edward Rodriguez,26,5,6.07,6.31,9.57,16.86,6.76,3.11,5.37,Bachelor's,India,French,1.46,1,2,23.01,0
Mary Christopher Jones,42,15,5.8,8.36,6.75,25.25,7.48,2.55,5.41,Bachelor's,Mexico,Mexican,6.44,5,5,27.56,1
Mary Edward Rodriguez,27,10,7.7,8.88,9.43,29.93,7.37,7.9,5.48,Culinary School,UK,Mexican,5.62,2,4,15.27,0
Patricia Benjamin Jones,29,13,7.21,9.15,7.3,15.66,7.89,10.0,4.26,High School,UK,Japanese,1.97,2,4,19.78,1
Robert Daniel Davis,45,12,6.19,7.09,8.62,9.32,6.04,4.94,3.48,Culinary School,Mexico,Mexican,2.43,2,5,20.1,0
Robert Olivia Smith,38,8,9.48,6.24,6.59,17.12,5.61,1.17,0.0,High School,USA,Mexican,3.44,1,6,16.16,0
William Benjamin Miller,36,12,7.88,8.37,7.69,41.96,6.0,4.83,1.15,Associate's,Mexico,Italian,7.16,4,4,27.68,0
Mary Grace Jones,34,7,6.38,7.73,10.0,19.12,5.97,3.15,5.74,Associate's,Mexico,Mexican,6.1,3,6,25.82,0
Michael Edward Williams,33,13,10.0,8.66,7.73,29.83,6.59,1.59,2.36,Associate's,India,Japanese,0.7,4,4,21.72,0
John Sophie Davis,25,1,3.33,7.08,9.64,19.27,6.89,1.0,5.98,Associate's,Italy,Mexican,7.6,7,4,17.9,0
Mary Emma Davis,32,7,6.06,6.59,4.02,0.0,5.56,5.39,4.48,High School,Germany,Japanese,2.63,2,8,24.78,0
William Grace Miller,25,11,7.72,9.18,8.14,29.42,7.91,4.17,3.38,Bachelor's,Brazil,Indian,6.72,6,4,22.57,1
John Benjamin Jones,20,11,7.53,8.33,7.45,19.65,7.36,2.97,4.76,Associate's,Mexico,Japanese,1.23,3,4,17.81,0
Elizabeth Olivia Jones,18,0,3.4,6.44,7.11,12.46,7.33,2.43,6.29,Culinary School,Germany,Italian,9.98,2,5,24.86,0
Barbara Sophie Miller,33,12,4.84,5.87,5.38,28.52,6.91,10.0,6.6,High School,Mexico,French,0.8,1,4,21.85,0
Robert Sophia Williams,32,10,6.4,7.32,5.65,7.91,6.93,5.24,5.18,Associate's,Japan,French,7.42,5,4,11.7,0
Robert Edward Miller,36,7,4.14,6.25,6.7,6.63,6.69,7.57,3.55,Associate's,Germany,Indian,5.41,2,5,15.04,0
Barbara Edward Smith,38,7,1.0,4.19,5.34,18.42,5.91,2.63,5.38,Associate's,India,Italian,0.86,4,3,13.35,0
Michael Sophia Davis,28,5,4.86,6.65,7.47,6.72,7.14,7.82,2.78,Bachelor's,Japan,Indian,0.27,4,10,25.16,1
Barbara Edward Garcia,25,7,6.92,6.45,8.72,27.52,7.13,1.81,3.91,High School,Japan,Indian,3.63,4,5,16.49,0
Michael Olivia Rodriguez,37,13,7.41,6.87,5.6,16.94,6.79,7.08,6.45,High School,Italy,Mexican,8.02,2,7,23.14,0
Mary Sophie Brown,18,8,8.0,7.19,4.41,24.91,7.51,10.0,8.21,Bachelor's,Germany,Mexican,0.41,1,3,30.86,0
Patricia Alexander Johnson,34,3,2.39,3.94,4.19,0.0,4.23,1.0,3.93,Associate's,Brazil,Italian,7.04,4,4,23.97,0
William Olivia Martinez,33,12,6.79,5.78,5.82,21.32,6.35,3.84,6.69,High School,Mexico,French,6.55,2,2,17.91,0
James Olivia Martinez,31,11,2.88,7.96,7.87,39.29,8.53,7.09,7.27,Associate's,USA,Japanese,2.66,7,10,16.28,1
John Sophie Davis,28,10,5.82,6.86,6.98,17.8,6.12,6.33,10.0,Associate's,USA,Mexican,0.77,4,6,18.47,0
Barbara Benjamin Brown,25,6,8.16,7.48,7.1,33.53,6.14,6.28,3.3,Associate's,Japan,Italian,9.15,3,6,14.86,0
John Olivia Davis,60,18,8.5,6.65,8.14,38.27,7.0,1.0,3.95,High School,Italy,Italian,3.0,6,5,14.28,1
Barbara Alexander Jones,35,9,6.27,7.12,8.18,5.5,6.5,4.84,2.17,Associate's,France,French,1.11,4,5,15.98,0
James Edward Miller,49,16,8.52,8.42,6.28,12.79,5.98,5.49,1.2,Associate's,USA,Italian,6.82,3,9,22.66,1
James Edward Garcia,35,15,7.06,5.36,6.48,14.94,6.27,8.82,4.69,Bachelor's,UK,Italian,2.17,5,6,17.4,0
William Daniel Miller,29,3,8.52,7.26,8.19,33.37,7.37,5.62,6.04,Bachelor's,France,French,4.76,2,2,18.87,0
Michael Olivia Smith,35,8,7.14,3.92,10.0,11.91,5.64,5.14,3.92,Associate's,Germany,Mexican,0.5,5,2,22.35,0
Elizabeth Sophie Miller,18,8,3.1,5.25,6.54,33.44,7.87,6.49,6.55,High School,France,French,9.93,2,5,23.64,0
William Grace Garcia,36,11,6.83,7.82,9.62,29.8,7.21,8.07,9.16,High School,USA,Indian,4.48,2,6,10.35,1
Mary Sophie Miller,53,18,1.94,3.89,5.05,22.51,6.73,6.49,7.67,High School,Brazil,Mexican,9.99,1,7,11.38,1
Mary Edward Garcia,28,5,1.88,6.83,6.29,31.24,7.2,6.28,7.88,High School,France,Indian,3.86,4,5,18.07,0
Barbara Edward Rodriguez,30,10,4.67,4.87,6.78,10.76,6.01,7.67,5.13,Bachelor's,France,Italian,3.48,4,6,14.43,0
John Edward Brown,18,3,3.44,6.49,8.72,16.47,6.08,1.26,3.64,Bachelor's,UK,Indian,9.15,3,10,24.27,0
Barbara Emma Smith,35,2,2.39,5.21,5.91,5.77,5.12,1.0,2.76,Associate's,USA,French,3.29,2,6,17.68,0
Barbara Sophie Martinez,39,16,2.54,4.02,8.25,8.43,6.03,3.58,3.74,High School,Japan,French,4.32,4,5,28.99,0
James Sophie Williams,29,11,5.7,6.57,7.9,28.18,5.94,4.47,5.15,High School,Mexico,Japanese,0.78,2,4,17.56,0
Mary Sophia Davis,20,3,3.2,5.21,4.59,13.78,5.11,1.0,3.25,Bachelor's,UK,Italian,9.55,2,3,21.54,0
Elizabeth Emma Davis,28,3,4.59,7.3,7.6,27.95,6.57,5.05,5.36,Bachelor's,Italy,French,0.85,1,4,16.66,0
Barbara Christopher Johnson,20,7,7.37,7.77,8.21,25.82,7.12,1.0,2.6,High School,Germany,Mexican,7.71,1,1,22.44,0
Robert Emma Davis,35,6,6.68,7.15,6.22,12.33,5.73,1.12,5.78,Associate's,USA,French,5.39,0,7,22.55,1
Elizabeth Grace Miller,22,13,7.35,7.89,9.05,13.51,7.14,5.37,4.7,High School,UK,Mexican,0.61,2,5,24.44,0
William Sophia Rodriguez,41,14,6.88,6.09,5.67,18.54,6.84,3.66,4.36,High School,China,Italian,0.02,5,6,19.33,0
Elizabeth Sophie Martinez,41,11,7.12,5.31,6.8,2.96,4.62,4.95,4.62,High School,UK,Japanese,9.36,4,2,26.35,0
Linda Emma Miller,51,10,7.23,6.1,6.72,19.35,6.44,2.43,5.14,Associate's,Italy,Japanese,7.42,1,3,21.5,0
Elizabeth Daniel Martinez,29,7,8.8,6.38,10.0,10.1,6.22,1.0,2.76,High School,China,Indian,6.86,1,4,16.78,0
Mary Christopher Smith,23,4,2.62,5.66,5.7,13.5,4.98,1.0,6.97,High School,India,French,4.39,4,4,16.82,0
Mary Emma Jones,35,4,3.99,8.34,7.14,29.03,6.71,2.78,5.3,High School,Brazil,Italian,2.39,3,3,23.64,0
